name,civilization,role,achievements,legacy_score
Caelum Nox,The Great Scientific Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,100
Telas Helios,The Valis AI Hegemony,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,100
Dorian Shadow,The Scientific AI Hegemony,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",100
Nyx Thorne,The Great Aurelari Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,100
Sylas Ironclad,The Consolidated Technocracy,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,100
Myra Aethel,The Scientific Technocracy,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,100
Vesper Zenith,The Scientific Technocracy,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",100
Vesper Frost,The Great Scientific Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,100
Elora Nox,The Great Allied Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",100
Aurelia Kaelis,The Kaeluman AI Hegemony,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,100
Sienna Thorne,The Unified AI Hegemony,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",100
Caelum Storm,The Consolidated Scientific Systems,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,100
Elora Valerius,The Valite Technocracy,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,99
Caelum Voidwalker,The Scientific Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,99
Orion Frost,The Consolidated Allied Systems,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,99
Vanya Aethel,The Allied Technocracy,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,99
Myra Starfall,The Unified Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,98
Kael Valerius,The Scientific Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,98
Lyra Frost,The Unified Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",98
Nyx Sovereign,The Great Aurelite Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,98
Vesper Starlight,The Consolidated Unified Systems,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",98
Thalia Shadow,The Consolidated Aethelgardan Systems,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,98
Sariel Apex,The Meran Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,98
Taron Voidwalker,The Great Zelex Imperium,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,98
Sienna Dawn,The Scientific AI Hegemony,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,98
Vanya Apex,The Unified Technocracy,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,98
Caelum Dawn,The Consolidated Star Empire,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,98
Aethelgard Sterling,The Great Consolidated Imperium,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,98
Dorian Voidwalker,The Great Unified Imperium,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",98
Aurelia Skyward,The Great Allied Imperium,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,97
Kael Crown,The Orionite AI Hegemony,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,97
Caelum Rifts,The Scientific Technocracy,Diplomat,Drafted the original charter that established the first Galactic Federation.,97
Sylas Vanguard,The Consolidated Chi-bulgis Systems,Emperor,Survived three major destabilization espionage operations planned by rival empires.,97
Taron Helios,The Great Scientific Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,97
Sariel Crown,The Great Orionian Imperium,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,97
Lyra Zenith,The Consolidated Star Empire,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,97
Valerius Vanguard,The Unified AI Hegemony,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,97
Aethelgard Sterling,The Consolidated Allied Systems,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Sagittarius Sector.,97
Zephyr Nova,The Consolidated Technocracy,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,97
Valerius Valerius,The Great Scientific Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,96
Kaelen Frost,The Great Consolidated Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",96
Telas Ironclad,The Unified Technocracy,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,96
Cassian Sterling,The Great Consolidated Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",96
Xerxes Voidwalker,The Cygnian Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,96
Kael Voidwalker,The Consolidated Delta-bulgis Systems,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,96
Zephyr Valerius,The Great Kaelumian Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,96
Vesper Frost,The Consolidated Unified Systems,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,96
Taron Apex,The Great Xenex Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,96
Xerxes Apex,The Great Unified Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",96
Nyx Aethel,The Great Scientific Imperium,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,96
Sylas Kaelis,The Bulgan Technocracy,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,96
Sienna Skyward,The Meroid AI Hegemony,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",96
Vanya Vanguard,The Unified Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,96
Elora Ironclad,The Great Sagittarian Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,96
Cassian Sol,The Scientific Technocracy,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,95
