era_name,start_year,end_year,dominant_empire,major_events
Age of Exploration,0,1000,Great-Great Defense Pact,Economic Collapse (Year 200): An Economic Collapse occurred in 2640424e04 due to negative ... | Economic Collapse (Year 200): An Economic Collapse occurred in 7664b6b371 due to negative ... | Economic Collapse (Year 500): An Economic Collapse occurred in 14c594f145 due to negative ... | Economic Collapse (Year 500): An Economic Collapse occurred in 7664b6b371 due to negative ...
Age of Trade,1000,10000,nan,Wormhole Collapse (Year 1000): Unstable Natural Wormhole shortcut WRM-NAT-0025 collapsed an... | Wormhole Collapse (Year 1000): Unstable Natural Wormhole shortcut WRM-NAT-0046 collapsed an... | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum.
Age of Collapse,10000,100500,Scientific Kaeluman Union,"Scientific Breakthrough (Year 10000): Scientists discovered major fundamental particles. Innovatio... | Scientific Breakthrough (Year 10000): Scientists discovered major fundamental particles. Innovatio... | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | Peaceful vacuum. | FTL Network Failure (Year 100483): In Year 100483, the FTL jump gate in Orion Prime suffered a ... | Wormhole Collapse (Year 100275): In Year 100275, a catastrophic solar flare in Betelgeuse Pri..."
Age of Federations,100500,101000,The Great Scientific Imperium,"Megastructure Completion (Year 100685): In Year 100685, a breakthrough in zero-point energy generati... | Galactic Federation (Year 100620): In Year 100620, the The Great Scientific Imperium and The Zy..."
Age of Expansion,101000,101500,The Great Bulgan Imperium,"Wormhole Collapse (Year 101229): In Year 101229, a rogue AI network in The Great Scientific I... | Wormhole Collapse (Year 101445): In Year 101445, a mysterious cosmic pandemic swept through S..."
Age of Federations,101500,102000,The Consolidated Technocracy,"Defense Pact (Year 101533): In Year 101533, the The Consolidated Beta-bulgis Systems and... | Defense Pact (Year 101611): In Year 101611, the The Scientific Star Empire and The Conso..."
Age of Expansion,102000,103000,The Unified Technocracy,"Megastructure Completion (Year 102176): In Year 102176, The Unified Technocracy successfully complet... | Pandemic Event (Year 102331): In Year 102331, a mysterious cosmic pandemic swept through O... | Wormhole Collapse (Year 102862): In Year 102862, the FTL jump gate in Betelgeuse Arm suffered... | Planetary Invasion (Year 102928): In Year 102928, a skirmish broke out in Sagittarius Prime be..."
Age of Colonization,103000,103500,The Great Unified Imperium,"War Declaration (Year 103161): In Year 103161, The Great Unified Imperium successfully anne... | Scientific Breakthrough (Year 103314): In Year 103314, the The Consolidated Merari Systems complete..."
Age of Trade,103500,104000,The Great Unified Imperium,"FTL Network Failure (Year 103618): In Year 103618, a rogue AI network in The Xenan Technocracy ... | FTL Network Failure (Year 103867): In Year 103867, a rogue AI network in The Consolidated Unifi..."
Age of Expansion,104000,106000,The Unified Technocracy,"AI Uprising (Year 104339): In Year 104339, a catastrophic solar flare in Aldebaran Expa... | Pandemic Event (Year 104033): In Year 104033, the FTL jump gate in Perseus Sigma suffered ... | Megastructure Completion (Year 104587): In Year 104587, The Scientific Technocracy successfully comp... | Galactic Federation (Year 104739): In Year 104739, the The Consolidated Unified Systems and The... | Planetary Invasion (Year 105260): In Year 105260, a skirmish broke out in Castor Major between... | War End (Year 105402): In Year 105402, the The Great Vesperari Imperium launched a ... | Economic Collapse (Year 105820): In Year 105820, industrial megacorporations in The Great Mer... | Pandemic Event (Year 105957): In Year 105957, a catastrophic solar flare in Betelgeuse Neb..."
