scene_id,scene_title,narration_script,visual_description,year
scn_01,Scene 1: The Economic Collapse (Year 200),"Narrator: In the deep cold of Year 200, the galactic balance of power was shattered. The 2640424e04 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",200
scn_02,Scene 2: The Economic Collapse (Year 200),"Narrator: In the deep cold of Year 200, the galactic balance of power was shattered. The 7664b6b371 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",200
scn_03,Scene 3: The Economic Collapse (Year 200),"Narrator: In the deep cold of Year 200, the galactic balance of power was shattered. The 739bb87006 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",200
scn_04,Scene 4: The Economic Collapse (Year 200),"Narrator: In the deep cold of Year 200, the galactic balance of power was shattered. The dc652af4e1 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",200
scn_05,Scene 5: The Economic Collapse (Year 200),"Narrator: In the deep cold of Year 200, the galactic balance of power was shattered. The 373ea01e5c moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",200
scn_06,Scene 6: The Economic Collapse (Year 200),"Narrator: In the deep cold of Year 200, the galactic balance of power was shattered. The 8e17c1b492 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",200
scn_07,Scene 7: The Economic Collapse (Year 200),"Narrator: In the deep cold of Year 200, the galactic balance of power was shattered. The 7c376afd56 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",200
scn_08,Scene 8: The Economic Collapse (Year 300),"Narrator: In the deep cold of Year 300, the galactic balance of power was shattered. The 23979e6a05 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",300
scn_09,Scene 9: The Economic Collapse (Year 300),"Narrator: In the deep cold of Year 300, the galactic balance of power was shattered. The 14c594f145 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",300
scn_10,Scene 10: The Economic Collapse (Year 300),"Narrator: In the deep cold of Year 300, the galactic balance of power was shattered. The 7664b6b371 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",300
scn_11,Scene 11: The Economic Collapse (Year 300),"Narrator: In the deep cold of Year 300, the galactic balance of power was shattered. The 739bb87006 moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",300
scn_12,Scene 12: The Economic Collapse (Year 300),"Narrator: In the deep cold of Year 300, the galactic balance of power was shattered. The b8c054770f moved, leaving an indelible mark. Look closely at the star maps: a single decision shaped generations.","Visual: A wide-angle panoramic view of massive starships entering hyperspace, surrounded by shimmering blue FTL gravity wells, panning down to a close-up of capital world command consoles.",300
