event_id,tick,year,civilization_id,event_type,description
TRN-EVT-00001,1,100,f8c1278b86,Quantum Network Upgrade,The Consolidated Consolidated Systems constructed capital Jump Gate 'GAT-0001' (Quantum Relay Gate) in star system Gaia-1954.
TRN-EVT-00002,1,100,ee951bbfab,Quantum Network Upgrade,The Great Kaelumian Imperium constructed capital Jump Gate 'GAT-0002' (Quantum Relay Gate) in star system GDE-7293.
TRN-EVT-00003,1,100,b2e833d309,Quantum Network Upgrade,The Great Allied Imperium constructed capital Jump Gate 'GAT-0003' (Quantum Relay Gate) in star system PSR 64400.
TRN-EVT-00004,1,100,faf8d4b64a,Transit Revolution,The Great Solex Imperium constructed capital Jump Gate 'GAT-0004' (Empire Gate) in star system HD 82516.
TRN-EVT-00005,1,100,a500abb373,Transit Revolution,The Zelari AI Hegemony constructed capital Jump Gate 'GAT-0005' (Galactic Gate) in star system Webb-6470.
TRN-EVT-00006,1,100,9594053f90,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0006' (Quantum Relay Gate) in star system Omicron Galacticis.
TRN-EVT-00007,1,100,185a68bac9,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0007' (Quantum Relay Gate) in star system HR 220748.
TRN-EVT-00008,1,100,c4f121b6c1,Transit Revolution,The Orionian Technocracy constructed capital Jump Gate 'GAT-0008' (Galactic Gate) in star system Zeta Orionis.
TRN-EVT-00009,1,100,70a115d461,Transit Revolution,The Consolidated Technocracy constructed capital Jump Gate 'GAT-0009' (Galactic Gate) in star system GDE-6664.
TRN-EVT-00010,1,100,26b5626b6c,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0010' (Quantum Relay Gate) in star system Webb-6726b.
TRN-EVT-00011,1,100,ec5efdeb2d,Transit Revolution,The Bulgite Technocracy constructed capital Jump Gate 'GAT-0011' (Galactic Gate) in star system Zeta Bulge.
TRN-EVT-00012,1,100,2f0954acad,Quantum Network Upgrade,The Scientific AI Hegemony constructed capital Jump Gate 'GAT-0012' (Quantum Relay Gate) in star system Aethelgard.
TRN-EVT-00013,1,100,511ff78315,Quantum Network Upgrade,The Great Allied Imperium constructed capital Jump Gate 'GAT-0013' (Quantum Relay Gate) in star system Zeta Cygni.
TRN-EVT-00014,1,100,95cba99a70,Quantum Network Upgrade,The Consolidated Technocracy constructed capital Jump Gate 'GAT-0014' (Quantum Relay Gate) in star system Webb-9180d.
TRN-EVT-00015,1,100,033668785c,Quantum Network Upgrade,The Great Solis Imperium constructed capital Jump Gate 'GAT-0015' (Quantum Relay Gate) in star system HD 212440.
TRN-EVT-00016,1,100,4a7ef72f37,Transit Revolution,The Great Bulgite Imperium constructed capital Jump Gate 'GAT-0016' (Galactic Gate) in star system Mu Bulge.
TRN-EVT-00017,1,100,23979e6a05,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0017' (Quantum Relay Gate) in star system Chi Persei.
TRN-EVT-00018,1,100,243eff68e3,Quantum Network Upgrade,The Great Sigma-bulgis Imperium constructed capital Jump Gate 'GAT-0018' (Quantum Relay Gate) in star system Sigma Bulge.
TRN-EVT-00019,1,100,9aa2eff7c3,Quantum Network Upgrade,The Great Persean Imperium constructed capital Jump Gate 'GAT-0019' (Quantum Relay Gate) in star system Upsilon Persei.
TRN-EVT-00020,1,100,5db2756626,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0020' (Quantum Relay Gate) in star system Gaia-2971.
TRN-EVT-00021,1,100,962632e3ac,Quantum Network Upgrade,The Zylarex Star Empire constructed capital Jump Gate 'GAT-0021' (Quantum Relay Gate) in star system GDE-378.
TRN-EVT-00022,1,100,7315025cfd,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0022' (Quantum Relay Gate) in star system TESS-2949.
TRN-EVT-00023,1,100,c56a0b9792,Transit Revolution,The Great Allied Imperium constructed capital Jump Gate 'GAT-0023' (Galactic Gate) in star system Elysium.
TRN-EVT-00024,1,100,35390a1939,Quantum Network Upgrade,The Consolidated Valari Systems constructed capital Jump Gate 'GAT-0024' (Quantum Relay Gate) in star system Kepler-4496.
TRN-EVT-00025,1,100,3a3695c8e9,Quantum Network Upgrade,The Consolidated Star Empire constructed capital Jump Gate 'GAT-0025' (Quantum Relay Gate) in star system Zeta Galacticis.
TRN-EVT-00026,1,100,494354518b,Quantum Network Upgrade,The Unified Technocracy constructed capital Jump Gate 'GAT-0026' (Quantum Relay Gate) in star system Gaia-2093.
TRN-EVT-00027,1,100,e4a60e62b6,Quantum Network Upgrade,The Consolidated Unified Systems constructed capital Jump Gate 'GAT-0027' (Quantum Relay Gate) in star system GDE-295.
TRN-EVT-00028,1,100,c64460376e,Quantum Network Upgrade,The Great Gamma-orionis Imperium constructed capital Jump Gate 'GAT-0028' (Quantum Relay Gate) in star system Gamma Orionis.
TRN-EVT-00029,1,100,abb26e55dc,Quantum Network Upgrade,The Consolidated Consolidated Systems constructed capital Jump Gate 'GAT-0029' (Quantum Relay Gate) in star system Theta Orionis.
TRN-EVT-00030,1,100,6dfc531f16,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0030' (Quantum Relay Gate) in star system TESS-3146.
TRN-EVT-00031,1,100,36b91772ac,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0031' (Quantum Relay Gate) in star system HIP 191429.
TRN-EVT-00032,1,100,3c983bfdab,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0032' (Quantum Relay Gate) in star system Gliese 598.0.
