tick,year,civilization_id,civilization_name,decision,reason,result
1,100,f8c1278b86,Consolidated Zelis Worlds,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,4836a15586,Scientific Valan Union,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,ee951bbfab,Kaelumian Directorate,DEFEND,High threat (17.6) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,b2e833d309,Allied Orionoid Systems,ALLY,No alliance targets found within proximity.,Fell back to defense posturing: boosted stability by +10.0.
1,100,faf8d4b64a,Solex Directorate,DEFEND,High threat (30.1) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,a500abb373,The Zelari Federation,RESEARCH,Research priorities chosen due to curiosity (74.6) and tech potential (13.7).,Technological level increased by 0.125 to 8.465.
1,100,9594053f90,Scientific Galacticite Union,RESEARCH,Research priorities chosen due to curiosity (78.5) and tech potential (14.9).,Technological level increased by 0.128 to 9.150.
1,100,22b55b78e2,Unified Omicron-galacticis Council,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (28.2).,Gained 300.0 resource units and +5.0 stability.
1,100,185a68bac9,Scientific Solari Union,RESEARCH,Research priorities chosen due to curiosity (89.3) and tech potential (16.8).,Technological level increased by 0.139 to 8.965.
1,100,c4f121b6c1,Orionian Directorate,TRADE,No eligible trading partners within proximity.,Fell back to local expansion: gained 150 resources.
1,100,70a115d461,Consolidated Aurelite Worlds,RESEARCH,Research priorities chosen due to curiosity (65.5) and tech potential (11.4).,Technological level increased by 0.115 to 7.510.
1,100,26b5626b6c,Scientific Thranan Union,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,8a41c4ac34,Valis Directorate,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,15286fa1f5,Consolidated Zelari Worlds,DEFEND,High threat (70.6) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,ec5efdeb2d,The Bulgite Federation,TRADE,No eligible trading partners within proximity.,Fell back to local expansion: gained 150 resources.
1,100,2f0954acad,Scientific Aethelgardian Union,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,c7c9fca9a1,Unified Aethelgardis Council,RESEARCH,Research priorities chosen due to curiosity (99.6) and tech potential (19.9).,Technological level increased by 0.150 to 10.160.
1,100,511ff78315,Allied Zeta-cygnis Systems,BUILD_MEGASTRUCTURE,Started construction of Matrioshka Brain to boost galactic Kardashev footprint.,Initiated Matrioshka Brain project (progress: 10%). Spent 800 resources.
1,100,95cba99a70,Consolidated Aureloid Worlds,RESEARCH,Research priorities chosen due to curiosity (59.1) and tech potential (11.3).,Technological level increased by 0.109 to 9.268.
1,100,73cb158d41,Unified Vesperari Council,ATTACK,Military conquest declared due to aggression (49.1) and poor relationships.,"WAR OUTCOME: Coalition [Zylarian Directorate] successfully defended against Coalition [Unified Vesperari Council]. Attacker Unified Vesperari Council suffered military defeat, losing 4,935,154,512 population and paying 808.6 resources in reparations."
1,100,7419a59432,Unified Merari Council,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (20.0).,Technological level increased by 0.150 to 10.161.
1,100,bb1351012f,Zylarian Directorate,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,3be9d94e07,Unified Kaelumoid Council,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,033668785c,The Solis Federation,RESEARCH,Research priorities chosen due to curiosity (62.3) and tech potential (12.4).,Technological level increased by 0.112 to 9.951.
1,100,f8a4edc83b,Consolidated Xenoid Worlds,ALLY,Diplomatic outreach for alliance sent to The Solis Federation (distance: 0.0 LY).,The Solis Federation immediately rejected alliance from Consolidated Xenoid Worlds due to low relations (20.1).
1,100,d2748466c9,Scientific Xenis Union,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,4a7ef72f37,The Bulgite Federation,TRADE,No eligible trading partners within proximity.,Fell back to local expansion: gained 150 resources.
1,100,23979e6a05,Unified Persean Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,b6e89e8b4d,Allied Chi-perseis Systems,ALLY,Diplomatic outreach for alliance sent to Unified Persean Council (distance: 0.0 LY).,Unified Persean Council immediately rejected alliance from Allied Chi-perseis Systems due to low relations (23.3).
1,100,243eff68e3,Sigma-bulgis Directorate,RESEARCH,Research priorities chosen due to curiosity (87.7) and tech potential (17.5).,Technological level increased by 0.138 to 10.140.
