article_id,year,category,headline,body,spokesperson
art_000000,0,Political Update,DIPLOMATIC REPORT: The Consolidated-Consolidated Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Consolidated-Consolidated Scientific Alliance was established as a Research Alliance including members: f8c1278b86,4836a15586. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000001,0,Political Update,DIPLOMATIC REPORT: Great-Great Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Great Defense Pact was established as a Defense Pact including members: 9594053f90,22b55b78e2. Speaking on the situation, Chancellor Telas Vex remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000002,0,Political Update,DIPLOMATIC REPORT: Orionian-Great Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Orionian-Great Defense Pact was established as a Defense Pact including members: c4f121b6c1,7036dbff3e. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000003,0,Political Update,DIPLOMATIC REPORT: Orionian-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Orionian-Consolidated Defense Pact was established as a Defense Pact including members: c4f121b6c1,c98968025a. Speaking on the situation, Chancellor Telas Vex remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000004,0,Political Update,DIPLOMATIC REPORT: The Scientific-Valis Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Scientific-Valis Scientific Alliance was established as a Research Alliance including members: 26b5626b6c,8a41c4ac34. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000005,0,Political Update,DIPLOMATIC REPORT: The Scientific-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Scientific-Great Scientific Alliance was established as a Research Alliance including members: 26b5626b6c,15286fa1f5. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000006,0,Political Update,DIPLOMATIC REPORT: The Valis-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Valis-Great Scientific Alliance was established as a Research Alliance including members: 8a41c4ac34,15286fa1f5. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000007,0,Political Update,DIPLOMATIC REPORT: Scientific-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Scientific-Consolidated Defense Pact was established as a Defense Pact including members: 2f0954acad,c7c9fca9a1. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000008,0,Political Update,DIPLOMATIC REPORT: Scientific-Great Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Scientific-Great Defense Pact was established as a Defense Pact including members: 2f0954acad,9cad00795f. Speaking on the situation, Chancellor Telas Vex remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000009,0,Political Update,DIPLOMATIC REPORT: The Scientific-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Scientific-Great Scientific Alliance was established as a Research Alliance including members: 2f0954acad,35b25d7eaf. Speaking on the situation, Chancellor Telas Vex remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000010,0,Political Update,DIPLOMATIC REPORT: Consolidated-Great Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Consolidated-Great Defense Pact was established as a Defense Pact including members: c7c9fca9a1,9cad00795f. Speaking on the situation, Chancellor Telas Vex remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000011,0,Political Update,DIPLOMATIC REPORT: The Consolidated-Consolidated Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Consolidated-Consolidated Scientific Alliance was established as a Research Alliance including members: c7c9fca9a1,155f4eead5. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
