name,civilization,role,achievements,legacy_score
Aurelia Helios,The Valis AI Hegemony,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",51
Vesper Helios,The Great Unified Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,31
Kaelen Vex,The Unified Technocracy,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,49
Rylan Starfall,The Great Unified Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,73
Elora Aethel,The Great Scientific Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,40
Cassian Kaelis,The Great Cygnan Imperium,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Centauri Sector.,33
Zephyr Nova,The Consolidated Technocracy,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,97
Vesper Sol,The Consolidated Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",68
Aurelia Ironclad,The Great Zylarian Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",93
Kaelen Crown,The Scientific AI Hegemony,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",30
Orion Aethel,The Great Valari Imperium,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,40
Sariel Crown,The Great Orionian Imperium,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,97
Vanya Sol,The Consolidated Scientific Systems,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",91
Sienna Zenith,The Consolidated Allied Systems,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,24
Cassian Thorne,The Solari Star Empire,Diplomat,Drafted the original charter that established the first Galactic Federation.,60
Orion Shadow,The Allied Technocracy,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,53
Vesper Storm,The Consolidated Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,94
Nyx Nox,The Consolidated Thranian Systems,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,83
Zephyr Kaelis,The Great Zelian Imperium,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,74
Orion Starlight,The Vesperite AI Hegemony,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",87
Caelum Apex,The Allied Technocracy,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,54
Lyra Skyward,The Consolidated Allied Systems,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",20
Myra Helios,The Great Scientific Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,84
Aethelgard Nova,The Consolidated Unified Systems,Scientist,Discovered ancient pre-space ruins containing lost technologies in deep space.,89
Dorian Voidwalker,The Great Unified Imperium,Emperor,Unified multiple warring factions under a centralized federal sovereignty.,34
Xerxes Valerius,The Bulgite Technocracy,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,30
Valerius Zenith,The Aurelian AI Hegemony,Scientist,Pioneered FTL research that unlocked advanced shielding modules for combat fleets.,36
Cassian Rifts,The Great Xenex Imperium,Diplomat,Drafted the original charter that established the first Galactic Federation.,74
Jesper Sovereign,The Consolidated Beta-bulgis Systems,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,76
Zephyr Nox,The Gamma-sagittariis Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",63
Elora Nox,The Great Allied Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",100
