civilization_id,civilization_name,year,event_type,description,stability_impact,population_impact,event_id
9594053f90,Scientific Galacticite Union,100,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00001
70a115d461,Consolidated Aurelite Worlds,100,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00002
b6e89e8b4d,Allied Chi-perseis Systems,100,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-108054963.89236155,EVT-00003
5db2756626,Unified Zelian Council,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00004
ea27a17ca6,The Meris Federation,100,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00005
c56a0b9792,Allied Elysiis Systems,100,Government Reform,The political structures peacefully reformed. Transitioned from Democracy to Monarchy.,0.0,0.0,EVT-00006
494354518b,Unified Zylarite Council,100,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,343980673.6131897,EVT-00007
35b25d7eaf,Unified Aethelgardis Council,100,Government Reform,The political structures peacefully reformed. Transitioned from Democracy to Technocracy.,0.0,0.0,EVT-00008
e4a60e62b6,Unified Zeloid Council,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00009
6dfc531f16,Unified Xenis Council,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00010
db90f4ff25,Unified Xenan Council,100,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-758312363.1689242,EVT-00011
3c4760ddea,Zelis Commonwealth,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00012
cb312b9d86,Aurelex Directorate,100,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-1606129686.5347176,EVT-00013
b53d4251d2,Meroid Directorate,100,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-986571961.530609,EVT-00014
7994a1ada7,Unified Bulgan Council,100,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00015
a222a74ae8,Zelex Directorate,100,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,155047066.42937893,EVT-00016
609e70586f,Scientific Kaeluman Union,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00017
7be35390be,Scientific Valan Union,100,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00018
71d820677a,The Zylaran Federation,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00019
7664b6b371,Orionian Directorate,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00020
d5f12251b2,Unified Xenian Council,100,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00021
b8c054770f,Beta-bulgis Directorate,100,Government Reform,The political structures peacefully reformed. Transitioned from Technocracy to Technocracy.,0.0,0.0,EVT-00022
1bc76d1c73,Consolidated Orionis Worlds,100,Civil War,Societal division erupted into widespread civil war. Transitioned to Collective.,-50.0,-1781445494.9603794,EVT-00023
88977397af,Zylarex Directorate,100,Government Reform,The political structures peacefully reformed. Transitioned from Technocracy to AI Governance.,0.0,0.0,EVT-00024
d0016e25b4,The Meran Federation,100,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-482762704.35476565,EVT-00025
5a9f1f61c7,Scientific Merex Union,100,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00026
691ec52085,The Zelian Federation,100,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00027
9a629191f0,Allied Orionan Systems,100,Government Reform,The political structures peacefully reformed. Transitioned from AI Governance to Technocracy.,0.0,0.0,EVT-00028
58a2b00e32,Consolidated Persean Worlds,100,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-678625530.9354798,EVT-00029
b4e38b5ba0,Scientific Bulgian Union,100,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00030
12f8de3472,Thranari Commonwealth,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00031
8196db66b3,Scientific Thranan Union,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00032
dffeed89fb,Chi-bulgis Directorate,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00033
28d83c4b42,Scientific Bulgite Union,100,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-2747930699.130629,EVT-00034
4164b650a3,Unified Zylarite Council,100,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00035
785ce4730c,Unified Xenan Council,100,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-25320618.84055409,EVT-00036
dbf06f7273,Orionite Directorate,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00037
1a2a63b5eb,Allied Thranian Systems,100,Civil War,Societal division erupted into widespread civil war. Transitioned to Technocracy.,-50.0,-106963917.16619042,EVT-00038
9eeb4737e9,Unified Merite Council,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00039
8e17c1b492,Solex Commonwealth,100,Civil War,Societal division erupted into widespread civil war. Transitioned to Federation.,-50.0,-254080216.97525948,EVT-00040
52be76d999,Zelian Directorate,100,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,366516674.60613686,EVT-00041
7fdb421436,Consolidated Cygnian Worlds,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00042
b323933feb,Allied Solian Systems,100,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-279192103.4949191,EVT-00043
0187c7d64a,The Vesperan Federation,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00044
de8a7cab3b,Unified Merian Council,100,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,200451996.66380855,EVT-00045
5573af18db,Merian Directorate,100,Government Reform,The political structures peacefully reformed. Transitioned from Scientific Council to Scientific Council.,0.0,0.0,EVT-00046
e13216033f,Meroid Directorate,100,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00047
0ad458611c,Unified Orionian Council,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00048
f343101fe6,Unified Aurelari Council,100,Government Reform,The political structures peacefully reformed. Transitioned from Monarchy to Technocracy.,0.0,0.0,EVT-00049
3a375c2f6d,Scientific Xenan Union,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00050
ac70f57b73,Unified Solex Council,100,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-753057800.4806533,EVT-00051
74136dc7b0,The Solari Federation,100,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,59150105.82598981,EVT-00052
7388512271,Unified Orionari Council,100,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-73412509.56211413,EVT-00053
4c2540c708,Unified Orionoid Council,100,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-3032120766.1947846,EVT-00054
57733c8324,Scientific Merite Union,100,Government Reform,The political structures peacefully reformed. Transitioned from Scientific Council to Technocracy.,0.0,0.0,EVT-00055
83c39baf65,Zylarite Directorate,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00056
f0f8b2423b,Xenex Directorate,100,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00057
2ed96a351c,Unified Valite Council,100,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-655434345.2654501,EVT-00058
11452e96e6,Scientific Zelex Union,100,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-21157879.560508788,EVT-00059
75447b1ce9,Zylarian Commonwealth,100,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00060
8a78a0e229,Unified Vesperoid Council,100,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00061
822326926a,Unified Meroid Council,100,Civil War,Societal division erupted into widespread civil war. Transitioned to Technocracy.,-50.0,-978530066.9353391,EVT-00062
f03d90fb8f,Thranite Directorate,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00063
15474381ae,Scientific Kaelumari Union,100,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00064
faf8d4b64a,Solex Directorate,1000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00065
ec5efdeb2d,The Bulgite Federation,1000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00066
511ff78315,Allied Zeta-cygnis Systems,1000,Civil War,Societal division erupted into widespread civil war. Transitioned to Scientific Council.,-50.0,-640259665.7495363,EVT-00067
63fff6610a,Meris Directorate,1000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00068
6d4e0abb77,Scientific Zelan Union,1000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00069
95985a8620,Xenan Directorate,1000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,151796928.0788398,EVT-00070
6fbfc2a11d,Unified Orionite Council,1000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00071
1b37c066da,Valis Commonwealth,1000,Civil War,Societal division erupted into widespread civil war. Transitioned to Collective.,-50.0,-3180011684.2745085,EVT-00072
53dc64803e,Scientific Orionian Union,1000,Government Reform,The political structures peacefully reformed. Transitioned from Scientific Council to AI Governance.,0.0,0.0,EVT-00073
947f74a852,Allied Sagittariite Systems,1000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00074
6957a14d13,Xenian Directorate,1000,Government Reform,The political structures peacefully reformed. Transitioned from Collective to Federation.,0.0,0.0,EVT-00075
6957a14d13,Xenian Directorate,1000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00076
cf1fb521d7,Allied Sagittarian Systems,1000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00077
2640424e04,Unified Aurelan Council,1000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,243099491.99697095,EVT-00078
