event_id,year,timestamp,event_type,event_category,empire,participants,location,impact_score,historical_significance,description
ALL-0001,0,Year 0,Alliance Formation,Diplomacy,The Consolidated-Consolidated Scientific Alliance,"f8c1278b86,4836a15586",Galactic Assembly,15.0,Significant,"The The Consolidated-Consolidated Scientific Alliance was established as a Research Alliance including members: f8c1278b86,4836a15586."
ALL-0002,0,Year 0,Alliance Formation,Diplomacy,Great-Great Defense Pact,"9594053f90,22b55b78e2",Galactic Assembly,15.0,Significant,"The Great-Great Defense Pact was established as a Defense Pact including members: 9594053f90,22b55b78e2."
ALL-0003,0,Year 0,Alliance Formation,Diplomacy,Orionian-Great Defense Pact,"c4f121b6c1,7036dbff3e",Galactic Assembly,15.0,Significant,"The Orionian-Great Defense Pact was established as a Defense Pact including members: c4f121b6c1,7036dbff3e."
ALL-0004,0,Year 0,Alliance Formation,Diplomacy,Orionian-Consolidated Defense Pact,"c4f121b6c1,c98968025a",Galactic Assembly,15.0,Significant,"The Orionian-Consolidated Defense Pact was established as a Defense Pact including members: c4f121b6c1,c98968025a."
ALL-0005,0,Year 0,Alliance Formation,Diplomacy,The Scientific-Valis Scientific Alliance,"26b5626b6c,8a41c4ac34",Galactic Assembly,15.0,Significant,"The The Scientific-Valis Scientific Alliance was established as a Research Alliance including members: 26b5626b6c,8a41c4ac34."
ALL-0006,0,Year 0,Alliance Formation,Diplomacy,The Scientific-Great Scientific Alliance,"26b5626b6c,15286fa1f5",Galactic Assembly,15.0,Significant,"The The Scientific-Great Scientific Alliance was established as a Research Alliance including members: 26b5626b6c,15286fa1f5."
ALL-0007,0,Year 0,Alliance Formation,Diplomacy,The Valis-Great Scientific Alliance,"8a41c4ac34,15286fa1f5",Galactic Assembly,15.0,Significant,"The The Valis-Great Scientific Alliance was established as a Research Alliance including members: 8a41c4ac34,15286fa1f5."
ALL-0008,0,Year 0,Alliance Formation,Diplomacy,Scientific-Consolidated Defense Pact,"2f0954acad,c7c9fca9a1",Galactic Assembly,15.0,Significant,"The Scientific-Consolidated Defense Pact was established as a Defense Pact including members: 2f0954acad,c7c9fca9a1."
ALL-0009,0,Year 0,Alliance Formation,Diplomacy,Scientific-Great Defense Pact,"2f0954acad,9cad00795f",Galactic Assembly,15.0,Significant,"The Scientific-Great Defense Pact was established as a Defense Pact including members: 2f0954acad,9cad00795f."
ALL-0010,0,Year 0,Alliance Formation,Diplomacy,The Scientific-Great Scientific Alliance,"2f0954acad,35b25d7eaf",Galactic Assembly,15.0,Significant,"The The Scientific-Great Scientific Alliance was established as a Research Alliance including members: 2f0954acad,35b25d7eaf."
ALL-0011,0,Year 0,Alliance Formation,Diplomacy,Consolidated-Great Defense Pact,"c7c9fca9a1,9cad00795f",Galactic Assembly,15.0,Significant,"The Consolidated-Great Defense Pact was established as a Defense Pact including members: c7c9fca9a1,9cad00795f."
ALL-0012,0,Year 0,Alliance Formation,Diplomacy,The Consolidated-Consolidated Scientific Alliance,"c7c9fca9a1,155f4eead5",Galactic Assembly,15.0,Significant,"The The Consolidated-Consolidated Scientific Alliance was established as a Research Alliance including members: c7c9fca9a1,155f4eead5."
ALL-0013,0,Year 0,Alliance Formation,Diplomacy,The Consolidated-Great Scientific Alliance,"95cba99a70,73cb158d41",Galactic Assembly,15.0,Significant,"The The Consolidated-Great Scientific Alliance was established as a Research Alliance including members: 95cba99a70,73cb158d41."
ALL-0014,0,Year 0,Alliance Formation,Diplomacy,The Consolidated-Unified Scientific Alliance,"95cba99a70,7419a59432",Galactic Assembly,15.0,Significant,"The The Consolidated-Unified Scientific Alliance was established as a Research Alliance including members: 95cba99a70,7419a59432."
ALL-0015,0,Year 0,Alliance Formation,Diplomacy,The Consolidated-Consolidated Scientific Alliance,"95cba99a70,3be9d94e07",Galactic Assembly,15.0,Significant,"The The Consolidated-Consolidated Scientific Alliance was established as a Research Alliance including members: 95cba99a70,3be9d94e07."
ALL-0016,0,Year 0,Alliance Formation,Diplomacy,Great-Unified Defense Pact,"73cb158d41,7419a59432",Galactic Assembly,15.0,Significant,"The Great-Unified Defense Pact was established as a Defense Pact including members: 73cb158d41,7419a59432."
ALL-0017,0,Year 0,Alliance Formation,Diplomacy,Great-Zylarian Defense Pact,"73cb158d41,bb1351012f",Galactic Assembly,15.0,Significant,"The Great-Zylarian Defense Pact was established as a Defense Pact including members: 73cb158d41,bb1351012f."
ALL-0018,0,Year 0,Alliance Formation,Diplomacy,The Great-Consolidated Scientific Alliance,"73cb158d41,3be9d94e07",Galactic Assembly,15.0,Significant,"The The Great-Consolidated Scientific Alliance was established as a Research Alliance including members: 73cb158d41,3be9d94e07."
ALL-0019,0,Year 0,Alliance Formation,Diplomacy,Unified-Consolidated Defense Pact,"7419a59432,3be9d94e07",Galactic Assembly,15.0,Significant,"The Unified-Consolidated Defense Pact was established as a Defense Pact including members: 7419a59432,3be9d94e07."
ALL-0020,0,Year 0,Alliance Formation,Diplomacy,The Great-Consolidated Scientific Alliance,"033668785c,f8a4edc83b",Galactic Assembly,15.0,Significant,"The The Great-Consolidated Scientific Alliance was established as a Research Alliance including members: 033668785c,f8a4edc83b."
ALL-0021,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"033668785c,d2748466c9",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: 033668785c,d2748466c9."
ALL-0022,0,Year 0,Alliance Formation,Diplomacy,The Consolidated-Great Scientific Alliance,"f8a4edc83b,d2748466c9",Galactic Assembly,15.0,Significant,"The The Consolidated-Great Scientific Alliance was established as a Research Alliance including members: f8a4edc83b,d2748466c9."
ALL-0023,0,Year 0,Alliance Formation,Diplomacy,Great-Consolidated Defense Pact,"23979e6a05,b6e89e8b4d",Galactic Assembly,15.0,Significant,"The Great-Consolidated Defense Pact was established as a Defense Pact including members: 23979e6a05,b6e89e8b4d."
ALL-0024,0,Year 0,Alliance Formation,Diplomacy,The Great-Consolidated Scientific Alliance,"23979e6a05,03fca7f787",Galactic Assembly,15.0,Significant,"The The Great-Consolidated Scientific Alliance was established as a Research Alliance including members: 23979e6a05,03fca7f787."
ALL-0025,0,Year 0,Alliance Formation,Diplomacy,Great-Scientific Defense Pact,"23979e6a05,939c53fc68",Galactic Assembly,15.0,Significant,"The Great-Scientific Defense Pact was established as a Defense Pact including members: 23979e6a05,939c53fc68."
ALL-0026,0,Year 0,Alliance Formation,Diplomacy,Consolidated-Consolidated Defense Pact,"b6e89e8b4d,58a2b00e32",Galactic Assembly,15.0,Significant,"The Consolidated-Consolidated Defense Pact was established as a Defense Pact including members: b6e89e8b4d,58a2b00e32."
ALL-0027,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"5db2756626,37df7ce9be",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: 5db2756626,37df7ce9be."
ALL-0028,0,Year 0,Alliance Formation,Diplomacy,Great-Unified Defense Pact,"5db2756626,52d6d92e6b",Galactic Assembly,15.0,Significant,"The Great-Unified Defense Pact was established as a Defense Pact including members: 5db2756626,52d6d92e6b."
ALL-0029,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"5db2756626,ea27a17ca6",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: 5db2756626,ea27a17ca6."
ALL-0030,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"37df7ce9be,63fff6610a",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: 37df7ce9be,63fff6610a."
ALL-0031,0,Year 0,Alliance Formation,Diplomacy,Great-Unified Defense Pact,"37df7ce9be,52d6d92e6b",Galactic Assembly,15.0,Significant,"The Great-Unified Defense Pact was established as a Defense Pact including members: 37df7ce9be,52d6d92e6b."
ALL-0032,0,Year 0,Alliance Formation,Diplomacy,Great-Great Defense Pact,"37df7ce9be,ea27a17ca6",Galactic Assembly,15.0,Significant,"The Great-Great Defense Pact was established as a Defense Pact including members: 37df7ce9be,ea27a17ca6."
ALL-0033,0,Year 0,Alliance Formation,Diplomacy,The Great-Unified Scientific Alliance,"63fff6610a,52d6d92e6b",Galactic Assembly,15.0,Significant,"The The Great-Unified Scientific Alliance was established as a Research Alliance including members: 63fff6610a,52d6d92e6b."
ALL-0034,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"63fff6610a,ea27a17ca6",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: 63fff6610a,ea27a17ca6."
ALL-0035,0,Year 0,Alliance Formation,Diplomacy,Zylarex-Great Defense Pact,"962632e3ac,0bfb7074dd",Galactic Assembly,15.0,Significant,"The Zylarex-Great Defense Pact was established as a Defense Pact including members: 962632e3ac,0bfb7074dd."
ALL-0036,0,Year 0,Alliance Formation,Diplomacy,Zylarex-Scientific Defense Pact,"962632e3ac,626215ebea",Galactic Assembly,15.0,Significant,"The Zylarex-Scientific Defense Pact was established as a Defense Pact including members: 962632e3ac,626215ebea."
ALL-0037,0,Year 0,Alliance Formation,Diplomacy,The Zylarex-Great Scientific Alliance,"962632e3ac,d8145cd1f0",Galactic Assembly,15.0,Significant,"The The Zylarex-Great Scientific Alliance was established as a Research Alliance including members: 962632e3ac,d8145cd1f0."
ALL-0038,0,Year 0,Alliance Formation,Diplomacy,Great-Scientific Defense Pact,"0bfb7074dd,626215ebea",Galactic Assembly,15.0,Significant,"The Great-Scientific Defense Pact was established as a Defense Pact including members: 0bfb7074dd,626215ebea."
ALL-0039,0,Year 0,Alliance Formation,Diplomacy,The Scientific-Great Scientific Alliance,"626215ebea,d8145cd1f0",Galactic Assembly,15.0,Significant,"The The Scientific-Great Scientific Alliance was established as a Research Alliance including members: 626215ebea,d8145cd1f0."
ALL-0040,0,Year 0,Alliance Formation,Diplomacy,Great-Consolidated Defense Pact,"7315025cfd,d853839dba",Galactic Assembly,15.0,Significant,"The Great-Consolidated Defense Pact was established as a Defense Pact including members: 7315025cfd,d853839dba."
ALL-0041,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"c56a0b9792,2173a01d64",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: c56a0b9792,2173a01d64."
ALL-0042,0,Year 0,Alliance Formation,Diplomacy,Consolidated-Consolidated Defense Pact,"35390a1939,6d4e0abb77",Galactic Assembly,15.0,Significant,"The Consolidated-Consolidated Defense Pact was established as a Defense Pact including members: 35390a1939,6d4e0abb77."
ALL-0043,0,Year 0,Alliance Formation,Diplomacy,The Unified-Great Scientific Alliance,"494354518b,a425d5c923",Galactic Assembly,15.0,Significant,"The The Unified-Great Scientific Alliance was established as a Research Alliance including members: 494354518b,a425d5c923."
ALL-0044,0,Year 0,Alliance Formation,Diplomacy,Great-Consolidated Defense Pact,"9cad00795f,155f4eead5",Galactic Assembly,15.0,Significant,"The Great-Consolidated Defense Pact was established as a Defense Pact including members: 9cad00795f,155f4eead5."
ALL-0045,0,Year 0,Alliance Formation,Diplomacy,The Great-Aethelgardan Scientific Alliance,"9cad00795f,4e674c46b8",Galactic Assembly,15.0,Significant,"The The Great-Aethelgardan Scientific Alliance was established as a Research Alliance including members: 9cad00795f,4e674c46b8."
ALL-0046,0,Year 0,Alliance Formation,Diplomacy,Consolidated-Great Defense Pact,"155f4eead5,35b25d7eaf",Galactic Assembly,15.0,Significant,"The Consolidated-Great Defense Pact was established as a Defense Pact including members: 155f4eead5,35b25d7eaf."
ALL-0047,0,Year 0,Alliance Formation,Diplomacy,Consolidated-Aethelgardan Defense Pact,"155f4eead5,4e674c46b8",Galactic Assembly,15.0,Significant,"The Consolidated-Aethelgardan Defense Pact was established as a Defense Pact including members: 155f4eead5,4e674c46b8."
ALL-0048,0,Year 0,Alliance Formation,Diplomacy,Consolidated-Kaelumis Defense Pact,"e4a60e62b6,80be4440e8",Galactic Assembly,15.0,Significant,"The Consolidated-Kaelumis Defense Pact was established as a Defense Pact including members: e4a60e62b6,80be4440e8."
ALL-0049,0,Year 0,Alliance Formation,Diplomacy,Consolidated-Thranis Defense Pact,"e4a60e62b6,c7a93adf27",Galactic Assembly,15.0,Significant,"The Consolidated-Thranis Defense Pact was established as a Defense Pact including members: e4a60e62b6,c7a93adf27."
ALL-0050,0,Year 0,Alliance Formation,Diplomacy,Great-Xenan Defense Pact,"24423298c0,95985a8620",Galactic Assembly,15.0,Significant,"The Great-Xenan Defense Pact was established as a Defense Pact including members: 24423298c0,95985a8620."
ALL-0051,0,Year 0,Alliance Formation,Diplomacy,Great-Kaelumis Defense Pact,"24423298c0,80be4440e8",Galactic Assembly,15.0,Significant,"The Great-Kaelumis Defense Pact was established as a Defense Pact including members: 24423298c0,80be4440e8."
ALL-0052,0,Year 0,Alliance Formation,Diplomacy,The Great-Thranis Scientific Alliance,"24423298c0,c7a93adf27",Galactic Assembly,15.0,Significant,"The The Great-Thranis Scientific Alliance was established as a Research Alliance including members: 24423298c0,c7a93adf27."
ALL-0053,0,Year 0,Alliance Formation,Diplomacy,The Xenan-Kaelumis Scientific Alliance,"95985a8620,80be4440e8",Galactic Assembly,15.0,Significant,"The The Xenan-Kaelumis Scientific Alliance was established as a Research Alliance including members: 95985a8620,80be4440e8."
ALL-0054,0,Year 0,Alliance Formation,Diplomacy,The Xenan-Thranis Scientific Alliance,"95985a8620,c7a93adf27",Galactic Assembly,15.0,Significant,"The The Xenan-Thranis Scientific Alliance was established as a Research Alliance including members: 95985a8620,c7a93adf27."
ALL-0055,0,Year 0,Alliance Formation,Diplomacy,The Kaelumis-Allied Scientific Alliance,"80be4440e8,df2217070a",Galactic Assembly,15.0,Significant,"The The Kaelumis-Allied Scientific Alliance was established as a Research Alliance including members: 80be4440e8,df2217070a."
ALL-0056,0,Year 0,Alliance Formation,Diplomacy,The Thranis-Allied Scientific Alliance,"c7a93adf27,df2217070a",Galactic Assembly,15.0,Significant,"The The Thranis-Allied Scientific Alliance was established as a Research Alliance including members: c7a93adf27,df2217070a."
ALL-0057,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"c64460376e,53e4b98264",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: c64460376e,53e4b98264."
ALL-0058,0,Year 0,Alliance Formation,Diplomacy,Great-Unified Defense Pact,"53e4b98264,14c594f145",Galactic Assembly,15.0,Significant,"The Great-Unified Defense Pact was established as a Defense Pact including members: 53e4b98264,14c594f145."
ALL-0059,0,Year 0,Alliance Formation,Diplomacy,The Consolidated-Great Scientific Alliance,"abb26e55dc,d401178af2",Galactic Assembly,15.0,Significant,"The The Consolidated-Great Scientific Alliance was established as a Research Alliance including members: abb26e55dc,d401178af2."
ALL-0060,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"075b3fb3b1,d401178af2",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: 075b3fb3b1,d401178af2."
ALL-0061,0,Year 0,Alliance Formation,Diplomacy,Great-Consolidated Defense Pact,"3c983bfdab,db90f4ff25",Galactic Assembly,15.0,Significant,"The Great-Consolidated Defense Pact was established as a Defense Pact including members: 3c983bfdab,db90f4ff25."
ALL-0062,0,Year 0,Alliance Formation,Diplomacy,The Consolidated-Consolidated Scientific Alliance,"db90f4ff25,cfec2df928",Galactic Assembly,15.0,Significant,"The The Consolidated-Consolidated Scientific Alliance was established as a Research Alliance including members: db90f4ff25,cfec2df928."
ALL-0063,0,Year 0,Alliance Formation,Diplomacy,Scientific-Consolidated Defense Pact,"30e300e760,65ea513ebb",Galactic Assembly,15.0,Significant,"The Scientific-Consolidated Defense Pact was established as a Defense Pact including members: 30e300e760,65ea513ebb."
ALL-0064,0,Year 0,Alliance Formation,Diplomacy,The Consolidated-Sagittariite Scientific Alliance,"65ea513ebb,7bf42c3a49",Galactic Assembly,15.0,Significant,"The The Consolidated-Sagittariite Scientific Alliance was established as a Research Alliance including members: 65ea513ebb,7bf42c3a49."
ALL-0065,0,Year 0,Alliance Formation,Diplomacy,Great-Unified Defense Pact,"6fbfc2a11d,81601b2e5e",Galactic Assembly,15.0,Significant,"The Great-Unified Defense Pact was established as a Defense Pact including members: 6fbfc2a11d,81601b2e5e."
ALL-0066,0,Year 0,Alliance Formation,Diplomacy,Great-Sigma-orionis Defense Pact,"6fbfc2a11d,72196fa906",Galactic Assembly,15.0,Significant,"The Great-Sigma-orionis Defense Pact was established as a Defense Pact including members: 6fbfc2a11d,72196fa906."
ALL-0067,0,Year 0,Alliance Formation,Diplomacy,The Unified-Sigma-orionis Scientific Alliance,"bceea7e00e,72196fa906",Galactic Assembly,15.0,Significant,"The The Unified-Sigma-orionis Scientific Alliance was established as a Research Alliance including members: bceea7e00e,72196fa906."
ALL-0068,0,Year 0,Alliance Formation,Diplomacy,The Unified-Sigma-orionis Scientific Alliance,"bceea7e00e,98fbfa35fa",Galactic Assembly,15.0,Significant,"The The Unified-Sigma-orionis Scientific Alliance was established as a Research Alliance including members: bceea7e00e,98fbfa35fa."
ALL-0069,0,Year 0,Alliance Formation,Diplomacy,Great-Unified Defense Pact,"9875fc03a4,81601b2e5e",Galactic Assembly,15.0,Significant,"The Great-Unified Defense Pact was established as a Defense Pact including members: 9875fc03a4,81601b2e5e."
ALL-0070,0,Year 0,Alliance Formation,Diplomacy,Great-Sigma-orionis Defense Pact,"9875fc03a4,72196fa906",Galactic Assembly,15.0,Significant,"The Great-Sigma-orionis Defense Pact was established as a Defense Pact including members: 9875fc03a4,72196fa906."
ALL-0071,0,Year 0,Alliance Formation,Diplomacy,Great-Sigma-orionis Defense Pact,"9875fc03a4,98fbfa35fa",Galactic Assembly,15.0,Significant,"The Great-Sigma-orionis Defense Pact was established as a Defense Pact including members: 9875fc03a4,98fbfa35fa."
ALL-0072,0,Year 0,Alliance Formation,Diplomacy,Unified-Sigma-orionis Defense Pact,"81601b2e5e,72196fa906",Galactic Assembly,15.0,Significant,"The Unified-Sigma-orionis Defense Pact was established as a Defense Pact including members: 81601b2e5e,72196fa906."
ALL-0073,0,Year 0,Alliance Formation,Diplomacy,The Unified-Sigma-orionis Scientific Alliance,"81601b2e5e,98fbfa35fa",Galactic Assembly,15.0,Significant,"The The Unified-Sigma-orionis Scientific Alliance was established as a Research Alliance including members: 81601b2e5e,98fbfa35fa."
ALL-0074,0,Year 0,Alliance Formation,Diplomacy,Sigma-orionis-Sigma-orionis Defense Pact,"72196fa906,98fbfa35fa",Galactic Assembly,15.0,Significant,"The Sigma-orionis-Sigma-orionis Defense Pact was established as a Defense Pact including members: 72196fa906,98fbfa35fa."
ALL-0075,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"e3ba98a843,50f9748c73",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: e3ba98a843,50f9748c73."
ALL-0076,0,Year 0,Alliance Formation,Diplomacy,The Cygnian-Gamma-cygnis Scientific Alliance,"3e1c9fe27e,cb16d2a5bc",Galactic Assembly,15.0,Significant,"The The Cygnian-Gamma-cygnis Scientific Alliance was established as a Research Alliance including members: 3e1c9fe27e,cb16d2a5bc."
ALL-0077,0,Year 0,Alliance Formation,Diplomacy,Cygnian-Great Defense Pact,"3e1c9fe27e,340e3912e2",Galactic Assembly,15.0,Significant,"The Cygnian-Great Defense Pact was established as a Defense Pact including members: 3e1c9fe27e,340e3912e2."
ALL-0078,0,Year 0,Alliance Formation,Diplomacy,Gamma-cygnis-Great Defense Pact,"cb16d2a5bc,340e3912e2",Galactic Assembly,15.0,Significant,"The Gamma-cygnis-Great Defense Pact was established as a Defense Pact including members: cb16d2a5bc,340e3912e2."
ALL-0079,0,Year 0,Alliance Formation,Diplomacy,The Solian-Scientific Scientific Alliance,"415811daec,53dc64803e",Galactic Assembly,15.0,Significant,"The The Solian-Scientific Scientific Alliance was established as a Research Alliance including members: 415811daec,53dc64803e."
ALL-0080,0,Year 0,Alliance Formation,Diplomacy,The Allied-Great Scientific Alliance,"947f74a852,7df05aba52",Galactic Assembly,15.0,Significant,"The The Allied-Great Scientific Alliance was established as a Research Alliance including members: 947f74a852,7df05aba52."
ALL-0081,0,Year 0,Alliance Formation,Diplomacy,The Galactician-Great Scientific Alliance,"e23dc5e375,6edc6616b2",Galactic Assembly,15.0,Significant,"The The Galactician-Great Scientific Alliance was established as a Research Alliance including members: e23dc5e375,6edc6616b2."
ALL-0082,0,Year 0,Alliance Formation,Diplomacy,The Galactician-Great Scientific Alliance,"e23dc5e375,82b29167c3",Galactic Assembly,15.0,Significant,"The The Galactician-Great Scientific Alliance was established as a Research Alliance including members: e23dc5e375,82b29167c3."
ALL-0083,0,Year 0,Alliance Formation,Diplomacy,Consolidated-Great Defense Pact,"77811a2fa9,a067552faf",Galactic Assembly,15.0,Significant,"The Consolidated-Great Defense Pact was established as a Defense Pact including members: 77811a2fa9,a067552faf."
ALL-0084,0,Year 0,Alliance Formation,Diplomacy,Consolidated-Scientific Defense Pact,"77811a2fa9,c6642b2284",Galactic Assembly,15.0,Significant,"The Consolidated-Scientific Defense Pact was established as a Defense Pact including members: 77811a2fa9,c6642b2284."
ALL-0085,0,Year 0,Alliance Formation,Diplomacy,Scientific-Consolidated Defense Pact,"4a9574c523,6957a14d13",Galactic Assembly,15.0,Significant,"The Scientific-Consolidated Defense Pact was established as a Defense Pact including members: 4a9574c523,6957a14d13."
ALL-0086,0,Year 0,Alliance Formation,Diplomacy,Merex-Consolidated Defense Pact,"e99c95009e,6957a14d13",Galactic Assembly,15.0,Significant,"The Merex-Consolidated Defense Pact was established as a Defense Pact including members: e99c95009e,6957a14d13."
ALL-0087,0,Year 0,Alliance Formation,Diplomacy,The Great-Perseian Scientific Alliance,"2a34070c99,d2f4557294",Galactic Assembly,15.0,Significant,"The The Great-Perseian Scientific Alliance was established as a Research Alliance including members: 2a34070c99,d2f4557294."
ALL-0088,0,Year 0,Alliance Formation,Diplomacy,Great-Unified Defense Pact,"2a34070c99,3b106fa102",Galactic Assembly,15.0,Significant,"The Great-Unified Defense Pact was established as a Defense Pact including members: 2a34070c99,3b106fa102."
