compression_scale,start_year,end_year,summary
100 Years,0,100,Alliance Formation (Yr 0): The The Consolidated-Consolidated Scientific Alliance was es... | Alliance Formation (Yr 0): The The Great-Unified Scientific Alliance was established as...
100 Years,100,200,Scientific Breakthrough (Yr 100): Scientists discovered major fundamental particles. Innovatio... | Scientific Breakthrough (Yr 100): Scientists discovered major fundamental particles. Innovatio...
100 Years,200,300,Economic Collapse (Yr 200): An Economic Collapse occurred in 2640424e04 due to negative ... | Economic Collapse (Yr 200): An Economic Collapse occurred in 7664b6b371 due to negative ...
100 Years,300,400,Economic Collapse (Yr 300): An Economic Collapse occurred in adc1c77061 due to negative ... | Economic Collapse (Yr 300): An Economic Collapse occurred in b8c054770f due to negative ...
100 Years,400,500,Economic Collapse (Yr 400): An Economic Collapse occurred in dc652af4e1 due to negative ... | Economic Collapse (Yr 400): An Economic Collapse occurred in adc1c77061 due to negative ...
100 Years,500,600,Economic Collapse (Yr 500): An Economic Collapse occurred in 14c594f145 due to negative ... | Economic Collapse (Yr 500): An Economic Collapse occurred in 739bb87006 due to negative ...
100 Years,600,700,Economic Collapse (Yr 600): An Economic Collapse occurred in 14c594f145 due to negative ... | Economic Collapse (Yr 600): An Economic Collapse occurred in 8f64eb0a84 due to negative ...
100 Years,700,800,Economic Collapse (Yr 700): An Economic Collapse occurred in 14c594f145 due to negative ... | Economic Collapse (Yr 700): An Economic Collapse occurred in 8f64eb0a84 due to negative ...
100 Years,800,900,Wormhole Collapse (Yr 800): Unstable Natural Wormhole shortcut WRM-NAT-0166 collapsed an... | Wormhole Collapse (Yr 800): Unstable Natural Wormhole shortcut WRM-NAT-0131 collapsed an...
100 Years,900,1000,Wormhole Collapse (Yr 900): Unstable Natural Wormhole shortcut WRM-NAT-0177 collapsed an... | Wormhole Collapse (Yr 900): Unstable Natural Wormhole shortcut WRM-NAT-0142 collapsed an...
100 Years,1000,1100,Wormhole Collapse (Yr 1000): Unstable Natural Wormhole shortcut WRM-NAT-0168 collapsed an... | Wormhole Collapse (Yr 1000): Unstable Natural Wormhole shortcut WRM-NAT-0090 collapsed an...
100 Years,10000,10100,Scientific Breakthrough (Yr 10000): Scientists discovered major fundamental particles. Innovatio... | Scientific Breakthrough (Yr 10000): Scientists discovered major fundamental particles. Innovatio...
100 Years,100000,100100,"Planetary Invasion (Yr 100090): In Year 100090, The Consolidated Perseian Systems successful... | Scientific Breakthrough (Yr 100000): Scientists discovered major fundamental particles. Innovatio..."
100 Years,100100,100200,"Resource Catastrophe (Yr 100187): In Year 100187, a rogue AI network in The Scientific AI Hege..."
100 Years,100200,100300,"Wormhole Collapse (Yr 100275): In Year 100275, a catastrophic solar flare in Betelgeuse Pri..."
100 Years,100300,100400,"Market Crash (Yr 100335): In Year 100335, The Great Cygnan Imperium experienced a mass..."
100 Years,100400,100500,"FTL Network Failure (Yr 100483): In Year 100483, the FTL jump gate in Orion Prime suffered a ... | Market Crash (Yr 100409): In Year 100409, industrial megacorporations in The Consolida..."
100 Years,100500,100600,"Orbital Battle (Yr 100547): In Year 100547, the The Consolidated Scientific Systems laun..."
100 Years,100600,100700,"Megastructure Completion (Yr 100685): In Year 100685, a breakthrough in zero-point energy generati... | Galactic Federation (Yr 100620): In Year 100620, the The Great Scientific Imperium and The Zy..."
100 Years,100700,100800,"Alliance Formation (Yr 100784): In Year 100784, the The Consolidated Star Empire and The Sci..."
100 Years,100800,100900,"Peace Treaty Signing (Yr 100879): In Year 100879, The Scientific Technocracy acted as a peace ..."
100 Years,100900,101000,"Deep Space Engagement (Yr 100995): In Year 100995, the The Consolidated Zelis Systems launched ... | Colonization (Yr 100937): In Year 100937, a joint colony was founded in Capella Nebula..."
100 Years,101000,101100,"Megastructure Completion (Yr 101049): In Year 101049, a breakthrough in zero-point energy generati..."
