empire_id,empire_name,origin_story,expansion_era,golden_age,major_wars,peak_influence,decline,legacy
f8c1278b86,The Consolidated Consolidated Systems,"The The Consolidated Consolidated Systems emerges in the galaxy, establishing its capital at Gaia-1954-c.","As FTL routes expanded, the The Consolidated Consolidated Systems colonized surrounding sectors, claiming resources.",The The Consolidated Consolidated Systems achieves a golden age of scientific and economic peak development.,"In Year 104508, a devastating fleet battle occurred in the Centauri Reach system where the forces of The Consolidated Consolidated Systems clashed with The Great Unified Imperium. | In Year 105260, a skirmish broke out in Castor Major between The Consolidated Consolidated Systems patrols and The Scientific Technocracy raiders.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 293371. The The Consolidated Consolidated Systems is completely annexed or wiped out from the galactic theater.
4836a15586,The Consolidated Scientific Systems,"The The Consolidated Scientific Systems emerges in the galaxy, establishing its capital at Gaia-1954-d.","The The Consolidated Scientific Systems enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Consolidated Scientific Systems reaches its peak geopolitical influence, asserting military dominance.","In Year 100547, the The Consolidated Scientific Systems launched a surprise offensive against The Great Unified Imperium over territorial claims in the Castor Nebula sector. | In Year 103161, The Great Unified Imperium successfully annexed colonies of The Consolidated Scientific Systems after a siege on their outer defense platforms.",Reaching peak GDP of 14929.92 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Consolidated Scientific Systems stand as monuments to their ancient legacy."
ee951bbfab,The Great Kaelumian Imperium,"The The Great Kaelumian Imperium emerges in the galaxy, establishing its capital at GDE-7293-c.","As FTL routes expanded, the The Great Kaelumian Imperium colonized surrounding sectors, claiming resources.",The The Great Kaelumian Imperium achieves a golden age of scientific and economic peak development.,"In Year 253036, the The Great Kaelumian Imperium launched a surprise offensive against The Great Aurelari Imperium over territorial claims in the Pollux Prime sector. | In Year 407842, the The Great Kaelumian Imperium launched a surprise offensive against The Vesperian AI Hegemony over territorial claims in the Rigel Arm sector.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 762716. The The Great Kaelumian Imperium is completely annexed or wiped out from the galactic theater.
b2e833d309,The Great Allied Imperium,"The The Great Allied Imperium emerges in the galaxy, establishing its capital at PSR 64400-e.","The The Great Allied Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Allied Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 115216, The Zylaran AI Hegemony successfully annexed colonies of The Great Allied Imperium after a siege on their outer defense platforms. | In Year 131333, a devastating fleet battle occurred in the Capella Major system where the forces of The Great Meris Imperium clashed with The Great Allied Imperium.",Reaching peak GDP of 30958.68 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Great Allied Imperium stand as monuments to their ancient legacy."
faf8d4b64a,The Great Solex Imperium,"The The Great Solex Imperium emerges in the galaxy, establishing its capital at HD 82516-d.","The The Great Solex Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Solex Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 276331, a devastating fleet battle occurred in the Castor Major system where the forces of The Consolidated Unified Systems clashed with The Great Solex Imperium. | In Year 387701, a skirmish broke out in Perseus Reach between The Great Solex Imperium patrols and The Aurelis Technocracy raiders.",Reaching peak GDP of 7200.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Great Solex Imperium stand as monuments to their ancient legacy."
a500abb373,The Zelari AI Hegemony,"The The Zelari AI Hegemony emerges in the galaxy, establishing its capital at Webb-6470-b.","The The Zelari AI Hegemony enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","During a era of peace, the economy grew, and trade hubs flourished, cementing their status.","In Year 167453, a devastating fleet battle occurred in the Orion Minor system where the forces of The Great Cygnan Imperium clashed with The Zelari AI Hegemony. | In Year 192224, The Unified Star Empire successfully annexed colonies of The Zelari AI Hegemony after a siege on their outer defense platforms.","At their zenith, the The Zelari AI Hegemony exerted significant economic and political influence.","In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Zelari AI Hegemony stand as monuments to their ancient legacy."
9594053f90,The Great Scientific Imperium,"The The Great Scientific Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-b.","As FTL routes expanded, the The Great Scientific Imperium colonized surrounding sectors, claiming resources.",The The Great Scientific Imperium achieves a golden age of scientific and economic peak development.,"In Year 102638, a devastating fleet battle occurred in the Vega Nebula system where the forces of The Consolidated Orionan Systems clashed with The Great Scientific Imperium. | In Year 102928, a skirmish broke out in Sagittarius Prime between The Consolidated Xi-sagittariis Systems patrols and The Great Scientific Imperium raiders.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 262515. The The Great Scientific Imperium is completely annexed or wiped out from the galactic theater.
22b55b78e2,The Great Unified Imperium,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-c.","The The Great Unified Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Unified Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 100547, the The Consolidated Scientific Systems launched a surprise offensive against The Great Unified Imperium over territorial claims in the Castor Nebula sector. | In Year 102026, the joint fleets of The Allied Technocracy and The Great Unified Imperium conducted a major peacekeeping operation in Orion Beta.",Reaching peak GDP of 5000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Great Unified Imperium.",The civilization became extinct in Year 260363. The The Great Unified Imperium is completely annexed or wiped out from the galactic theater.
185a68bac9,The Scientific Technocracy,"The The Scientific Technocracy emerges in the galaxy, establishing its capital at HR 220748-b.","As FTL routes expanded, the The Scientific Technocracy colonized surrounding sectors, claiming resources.",The The Scientific Technocracy achieves a golden age of scientific and economic peak development.,"In Year 101879, The Consolidated Star Empire successfully annexed colonies of The Scientific Technocracy after a siege on their outer defense platforms. | In Year 105260, a skirmish broke out in Castor Major between The Consolidated Consolidated Systems patrols and The Scientific Technocracy raiders.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 101879. The The Scientific Technocracy is completely annexed or wiped out from the galactic theater.
c4f121b6c1,The Orionian Technocracy,"The The Orionian Technocracy emerges in the galaxy, establishing its capital at Zeta Orionis-c.","As FTL routes expanded, the The Orionian Technocracy colonized surrounding sectors, claiming resources.",The The Orionian Technocracy achieves a golden age of scientific and economic peak development.,"In Year 111966, the The Bulgian Technocracy launched a surprise offensive against The Orionian Technocracy over territorial claims in the Castor Minor sector. | In Year 143621, a skirmish broke out in Sirius Sigma between The Orionian Technocracy patrols and The Great Unified Imperium raiders.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Orionian Technocracy.","Today, the ruins of jump gates and structures of The Orionian Technocracy stand as monuments to their ancient legacy."
